物业名称,区域,总建面积(_),物业类型,开盘日期,交房日期,项目现状,物业地址,单间面积最小值,单间面积最大值（平方米）,,单间价格范围,户型类别1,户型类别2,户型类别3,户型类别4,一居均价,二居均价,三居均价,本月均价,建筑面积范国,单间价格范围,每平方米价格范围,户型类别1,户型类别2,户型类别3,户型类别4
广源大厦（天道大厦）,闸北,26954,服务式公寓,2003/12/1 0:00,2004/6/1 0:00,交房,上海市闸北区共和新路710弄10号,,,,,,,,,,,,,,,,,,,
奔腾新干线,闸北,25000,服务式公寓,2001/12/13 0:00,2003/6/30 0:00,交房,上海市宝山区宝山路450弄17号,,,,,,,,,,,,,,,,,,,
美丽园公寓,静安,25000,服务式公寓,2002/12/6 0:00,2003/3/30 0:00,交房,上海市静安区镇宁路168号,,,,,,,,,,,,,,,,,,,
凤阳路601号酒店式公寓,静安,23824.21,服务式公寓,2006/5/8 9:43,2008/12/31 9:43,外装修,上海市静安区凤阳路577、597、599号（富民路118号）,,,,,,,,,,,,,,,,,,,
静安紫苑酒店式公寓,静安,22567,服务式公寓,2008/4/19 10:55,2009/3/31 0:00,交房,上海市静安区江宁路396号,,,,,,,,,,,,,,,,,,,
中心铂庭,闸北,21125.58,酒店式公寓,2010/3/6 0:00,2010/12/31 0:00,外装修,上海市闸北区天目中路520号,,,,,,,,,,,,,,,,,,,
蓝朝部落,静安,20000,服务式公寓,2001/9/1 9:18,2002/8/31 0:00,交房,上海市静安区万航渡路858弄8号,,,,,,,,,,,,,,,,,,,
欣安大厦西峰,静安,19880,服务式公寓,2002/1/1 0:00,2003/4/20 0:00,交房,上海市静安区镇宁路200号,,,,,,,,,,,,,,,,,,,
世纪时空酒店式服务公寓,静安,19000,服务式公寓,2002/12/8 0:00,2003/12/31 0:00,交房,上海市静安区乌鲁木齐北路199号,,,,,,,,,,,,,,,,,,,
博苑公寓,闸北,18386.4,酒店式公寓,2003/8/20 0:00,2004/5/30 0:00,交房,上海市闸北区大统路1038号,,,,,,,,,,,,,,,,,,,
静安·香格里公寓式酒店,静安,14362.36,酒店式公寓,2009/8/4 0:00,2009/12/31 0:00,交房,上海市静安区西康路663号,,,,,,,,,,,,,,,,,,,
永兴富邦商住楼（兴亚广场）,闸北,13000,服务式公寓,2003/3/19 0:00,2003/12/31 0:00,交房,上海市杨浦区永兴路258弄,,,,,,,,,,,,,,,,,,,
远雄悦来,静安,13000,服务式公寓,2006/4/16 0:00,2007/10/3 0:00,交房,上海市静安区昌化路56号,,,,,,,,,,,,,,,,,,,
静安艺庭,静安,12572,服务式公寓,2008/5/18 0:00,2008/12/31 0:00,外装修,上海市静安区海防路435弄,,,,,,,,,,,,,,,,,,,
赢+（和源大楼）,闸北,11065.99,酒店式公寓,2008/12/22 0:00,2010/1/1 0:00,结构封顶,上海市闸北区平型关路38号,,,,,,,,,,,,,,,,,,,
国际丽都公馆,静安,5200,服务式公寓,2005/8/30 0:00,2006/4/5 0:00,交房,上海市静安区愚园路268号,,,,,,,,,,,,,,,,,,,
中铁中环时代广场,闸北,,酒店式公寓,2011/1/1 0:00,2011/12/31 0:00,,上海市闸北区江场西路万荣路,,,,,,,,,,,,,,,,,,,
金赢国际公馆,闸北,,酒店式公寓,2009/6/30 0:00,2011/1/1 0:00,,上海市闸北区平型关路108弄,,,,,,,,,,,,,,,,,,,
五月花都荟贤居,闸北,,酒店式公寓,2011/12/1 0:00,2013/6/30 0:00,,上海市闸北芷江西路386号,,,,,,,,,,,,,,,,,,,
徐汇苑酒店式公寓,徐汇,286000,酒店式公寓,2009/12/18 0:00,2010/5/1 0:00,交房,上海市徐汇区天钥桥路968弄,,,,,,,,,,,,,,,,,,,
嘉汇国际,徐汇,102773,服务式公寓,2006/10/20 0:00,2007/11/30 0:00,交房,上海市徐汇区斜土路2601号,,,,,,,,,,,,,,,,,,,
天之骄子,浦东,90473,酒店式公寓,2010/11/30 0:00,2010/12/31 0:00,内装修,上海市浦东新区祖冲之路2305号（盛夏路口）,,,,,,,,,,,,,,,,,,,
保利ONE56,浦东,88000,酒店式公寓,2013/11/30 0:00,2015/12/31 0:00,主体结构,上海市浦东新区浦明路868弄,,,,,,,,,,,,,,,,,,,
丽舍,虹口,88000,酒店式公寓,2013/9/28 0:00,2014/10/1 0:00,主体结构,上海市虹口区广粤路289号,,,,,,,,,,,,,,,,,,,
东亚公寓,徐汇,80000,服务式公寓,2003/7/31 12:52,2000/6/30 11:14,交房,上海市徐汇区吴兴路108号(衡山路口),,,,,,,,,,,,,,,,,,,
中信五牛城酒店式公寓,浦东,80000,服务式公寓,2002/3/10 15:11,2003/12/31 0:00,交房,上海市浦东新区浦东大道1081-1089号,,,,,,,,,,,,,,,,,,,
中惠大厦,浦东,80000,服务式公寓,2006/7/30 0:00,2006/10/30 0:00,交房,上海市浦东新区新金桥路1088号,,,,,,,,,,,,,,,,,,,
盛大天地青春里,浦东,70586.46,酒店式公寓,2013/10/25 0:00,2015/7/31 0:00,结构封顶,上海市浦东新区盛荣路188弄,,,,,,,,,,,,,,,,,,,
馨乐庭金桥服务公寓,黄浦,70000,服务式公寓,2006/8/1 15:26,2006/8/1 15:26,交房,上海市黄浦区北京西路55号,,,,,,,,,,,,,,,,,,,
上海维景酒店公寓,长宁,64579,酒店式公寓,2000/11/1 14:27,2000/11/1 14:27,交房,上海市长宁区东诸安浜路103号,,,,,,,,,,,,,,,,,,,
怡水豪庭,黄浦,63025,服务式公寓,2007/10/15 0:00,2008/8/14 0:00,交房,上海市黄浦区南苏州路933号,,,,,,,,,,,,,,,,,,,
万豪行政公寓,黄浦,60000,服务式公寓,2004/5/18 10:09,2004/5/18 10:09,交房,上海市黄浦区南京西路399号,,,,,,,,,,,,,,,,,,,
张江公馆,浦东,55872.85,酒店式公寓,2013/11/11 0:00,2015/1/31 0:00,结构封顶,上海市浦东新区高科中路2810弄,,,,,,,,,,,,,,,,,,,
创业者公寓(和平花苑国际酒店公寓),虹口,55000,服务式公寓,2005/10/18 9:36,2005/10/18 9:36,交房,上海市虹口区大连路1232号,,,,,,,,,,,,,,,,,,,
东方蓝海国际广场,杨浦,54015,酒店式公寓,2011/10/8 0:00,2013/8/31 0:00,,上海市杨浦区黄兴路1778号,,,,,,,,,,,,,,,,,,,
嘉里华庭二期,长宁,53142.889,服务式公寓,2006/3/23 0:00,2006/10/1 0:00,交房,上海市长宁区华山路1038弄第一、第三座,,,,,,,,,,,,,,,,,,,
凉城地区中心(公寓式办公楼),虹口,53000,酒店式公寓,2011/10/28 0:00,2012/5/31 0:00,外装修,上海市虹口区水电路1400号,,,,,,,,,,,,,,,,,,,
禹洲蓝爵,浦东,50243,酒店式公寓,2010/12/12 0:00,,主体结构,上海市浦东新区金湘路201弄15号（新金桥路与金港路交点）,,,,,,,,,,,,,,,,,,,
上海汇金酒店式服务公寓,徐汇,50000,服务式公寓,2001/12/31 14:20,2001/12/31 15:03,交房,上海市徐汇区肇嘉浜路1018号,,,,,,,,,,,,,,,,,,,
陆家嘴创业街区,浦东,48449.06,服务式公寓,2015/8/29 0:00,2016/12/31 0:00,主体结构,上海市浦东新区灵山路1000号,,,,,,,,,,,,,,,,,,,
碧云钻石酒店式公寓,浦东,48070,服务式公寓,2003/2/1 0:00,2004/12/31 0:00,交房,上海市浦东新区碧云路1168号,,,,,,,,,,,,,,,,,,,
碧云瑞庭酒店公寓,浦东,46500,服务式公寓,2006/7/13 0:00,2007/8/31 0:00,内装修,上海市浦东新区新金桥路1388号,,,,,,,,,,,,,,,,,,,
国中酒店公寓,杨浦,43200,服务式公寓,2002/4/11 19:04,2004/7/25 19:04,交房,上海市杨浦区阜新路20弄2号,,,,,,,,,,,,,,,,,,,
中福世福汇大酒店,黄浦,42000,酒店式公寓,2003/1/11 0:00,2004/12/31 0:00,交房,上海市黄浦区山东中路33弄,,,,,,,,,,,,,,,,,,,
亦园,徐汇,41247,服务式公寓,2004/10/9 0:00,1998/3/1 0:00,交房,上海市徐汇区安福路168号,,,,,,,,,,,,,,,,,,,
铂宫（财富国际广场金座）,杨浦,40000,酒店式公寓,2010/5/8 0:00,2010/10/31 0:00,主体结构,上海市杨浦区国权路39号,,,,,,,,,,,,,,,,,,,
徐汇盛捷服务公寓,徐汇,40000,服务式公寓,2000/3/1 9:24,2000/3/1 10:40,交房,上海市徐汇区陕西南路888号,,,,,,,,,,,,,,,,,,,
金巢睿域,徐汇,39524,服务式公寓,2013/6/10 0:00,2014/10/31 0:00,主体结构,上海市徐汇区合宝路18号,,,,,,,,,,,,,,,,,,,
融创外滩188,虹口,38908.96,酒店式公寓,2015/6/30 0:00,2016/12/31 0:00,结构封顶,上海市虹口区商丘路387号,,,,,,,,,,,,,,,,,,,
中福花苑酒店式公寓,黄浦,37000,服务式公寓,2001/9/20 15:30,2003/3/31 15:30,交房,上海市黄浦区陆家浜路418弄,,,,,,,,,,,,,,,,,,,
旭辉祝源|海上国际,杨浦,35851,酒店式公寓,2014/9/30 0:00,2015/12/31 0:00,主体结构,上海市杨浦区控江路2028号（近打虎山路）,,,,,,,,,,,,,,,,,,,
名仕苑,徐汇,35555.55556,服务式公寓,2003/8/20 0:00,2004/6/1 0:00,交房,上海市徐汇区广元西路88号,,,,,,,,,,,,,,,,,,,
上海西华酒店公寓,徐汇,35000,服务式公寓,2000/4/18 10:27,2000/4/18 10:27,交房,上海市徐汇区淮海西路1号,,,,,,,,,,,,,,,,,,,
柏华丽豪华公寓,长宁,34927,服务式公寓,2002/3/16 15:08,2002/3/16 15:08,交房,上海市长宁区长宁路833号,,,,,,,,,,,,,,,,,,,
民达商厦,虹口,34000,服务式公寓,2004/9/26 0:00,2005/6/30 0:00,交房,上海市虹口区四川北路1885号,,,,,,,,,,,,,,,,,,,
盈标花园酒店公寓,浦东,34000,服务式公寓,2000/10/28 10:34,2002/12/31 0:00,交房,上海市浦东新区红枫路450弄,,,,,,,,,,,,,,,,,,,
绿地海怡酒店公寓,长宁,32150,服务式公寓,2003/11/8 0:00,2004/12/31 0:00,交房,上海市长宁区延安西路1201号,,,,,,,,,,,,,,,,,,,
兴业嘉园,浦东,31121,服务式公寓,2002/7/13 0:00,2003/12/31 0:00,交房,上海市浦东新区浦电路400号,,,,,,,,,,,,,,,,,,,
虹桥银座(申晟世洋酒店公寓),长宁,30800,酒店式公寓,2004/1/3 14:14,2004/9/27 14:14,交房,上海市长宁区虹梅路3721号延安西路口,,,,,,,,,,,,,,,,,,,
金苑,徐汇,30000,服务式公寓,2004/9/16 14:42,2003/2/27 14:40,交房,上海市徐汇区安福路198号,,,,,,,,,,,,,,,,,,,
上海鹏利辉盛阁公寓,浦东,30000,服务式公寓,2008/6/1 0:00,2008/3/6 0:00,交房,上海市浦东新区陆家嘴银城中路600弄1号,,,,,,,,,,,,,,,,,,,
衡辰酒店式公寓,长宁,29781,服务式公寓,2006/5/8 0:00,2007/11/1 0:00,交房,上海市长宁区天山路326号,,,,,,,,,,,,,,,,,,,
新黄浦酒店公寓,黄浦,29000,服务式公寓,2001/1/16 11:41,2001/1/16 11:41,交房,上海市黄浦区永寿路88号,,,,,,,,,,,,,,,,,,,
华山丽苑,长宁,28836,服务式公寓,2007/2/12 0:00,2009/11/6 0:00,交房,上海市幸福路139弄,,,,,,,,,,,,,,,,,,,
上海丽晶大厦,长宁,26790,服务式公寓,2002/9/1 11:52,2003/11/1 11:52,交房,上海市长宁区仙霞路28号,,,,,,,,,,,,,,,,,,,
莎玛·徐家汇,徐汇,26589,服务式公寓,2007/1/17 19:31,2008/1/14 19:31,交房,上海市徐汇区辛耕路81弄11-12号楼,,,,,,,,,,,,,,,,,,,
徐汇御苑,徐汇,26044,服务式公寓,2006/1/25 13:10,2007/6/30 13:10,交房,上海市徐汇区东安路251弄,,,,,,,,,,,,,,,,,,,
碧云东壹栋,浦东,26000,酒店式公寓,2006/1/18 0:00,2007/7/31 15:08,内装修,上海市浦东新区金藏路51号（近杨高中路）,,,,,,,,,,,,,,,,,,,
恒升半岛国际中心,虹口,25884.3,服务式公寓,2002/12/7 0:00,2004/2/1 0:00,交房,上海市虹口区吴淞路205号,,,,,,,,,,,,,,,,,,,
嘉和美舍,虹口,25759,服务式公寓,2006/7/15 9:17,2007/11/25 15:36,交房,上海市虹口区花园路16号,,,,,,,,,,,,,,,,,,,
汇峰鼎园,徐汇,25000,服务式公寓,2006/1/16 10:51,2006/12/31 10:51,交房,上海市徐汇区肇嘉浜路9弄,,,,,,,,,,,,,,,,,,,
美丽华花园,长宁,25000,服务式公寓,2000/12/11 9:14,2001/1/26 9:14,交房,上海市虹桥路1720弄11号,,,,,,,,,,,,,,,,,,,
中远龙阳公寓,浦东,25000,服务式公寓,2003/7/25 0:00,2004/3/31 0:00,交房,上海市浦东新区杨高南路1288号,,,,,,,,,,,,,,,,,,,
三金大厦(巴黎时韵),徐汇,25000,服务式公寓,2002/2/1 0:00,2003/1/30 0:00,交房,上海市徐汇区襄阳南路500号,,,,,,,,,,,,,,,,,,,
万富汇SOHO,浦东,25000,酒店式公寓,2010/10/16 0:00,2010/12/31 0:00,结构封顶,上海市浦东新区板泉路1567号,,,,,,,,,,,,,,,,,,,
金都苑,长宁,24903,服务式公寓,2001/12/19 10:36,2002/12/31 16:24,交房,上海市长宁区定西路1310弄16号,,,,,,,,,,,,,,,,,,,
四季沙龙公寓,虹口,24641,服务式公寓,2004/3/27 0:00,2005/6/1 0:00,交房,上海市虹口区新市南路585号,,,,,,,,,,,,,,,,,,,
禹洲金桥国际(蓝馆),浦东,24022,服务式公寓,2007/3/17 0:00,2008/6/30 0:00,结构封顶,上海市浦东新区金港路333号,,,,,,,,,,,,,,,,,,,
复旦软件园·智慧新天地,杨浦,22718.04,酒店式公寓,2013/3/8 0:00,2014/3/31 0:00,内装修,上海市杨浦区隆昌路590、592号等,,,,,,,,,,,,,,,,,,,
海悦滨江酒店式公寓,浦东,22000,服务式公寓,2003/3/19 0:00,2004/5/31 0:00,交房,上海市浦东新区浦东大道569号,,,,,,,,,,,,,,,,,,,
中环滨江大厦,浦东,21645,服务式公寓,2007/10/10 0:00,2008/12/31 9:24,主体结构,上海浦东新区浦东大道2742弄,,,,,,,,,,,,,,,,,,,
天都国际,长宁,21480,服务式公寓,2005/8/31 0:00,2007/6/30 13:18,交房,上海市长宁区天山路1111号,,,,,,,,,,,,,,,,,,,
尚都（申峰大厦）,徐汇,21000,服务式公寓,2004/5/15 0:00,2005/4/30 0:00,交房,上海市徐汇区天钥桥路438号,,,,,,,,,,,,,,,,,,,
展想悦廷,浦东,21000,酒店式公寓,2013/4/30 0:00,2013/10/31 0:00,交房,上海市浦东新区祖冲之路2288弄2号楼,,,,,,,,,,,,,,,,,,,
瑞庭酒店公寓,长宁,21000,服务式公寓,2005/12/26 14:30,2005/12/26 14:30,交房,上海市长宁区黄金城道600弄,,,,,,,,,,,,,,,,,,,
威伦酒店南外滩店（原赛元酒店公寓）,黄浦,20800,酒店式公寓,2002/9/28 0:00,2003/9/1 0:00,交房,上海市黄浦区陆家浜路456号,,,,,,,,,,,,,,,,,,,
旭园,虹口,20340,酒店式公寓,2008/11/26 0:00,2008/10/31 0:00,交房,上海市虹口区大连路515号,,,,,,,,,,,,,,,,,,,
帝景苑酒店服务式公寓,徐汇,20000,服务式公寓,2002/11/1 9:19,2004/4/1 9:19,交房,上海市徐汇区肇嘉浜路1001号,,,,,,,,,,,,,,,,,,,
鸿发苑,长宁,20000,服务式公寓,2004/8/26 15:05,2004/9/1 0:00,交房,上海市长宁区新华路2号,,,,,,,,,,,,,,,,,,,
雅诗阁（上海瑞苑酒店公寓）,浦东,20000,服务式公寓,2001/4/1 15:13,2001/4/1 0:00,交房,上海市浦东新区浦东大道3号,,,,,,,,,,,,,,,,,,,
宝利金新世纪大厦,黄浦,19855.33,服务式公寓,2002/9/7 10:08,2003/6/1 10:08,交房,上海市黄浦区陆家浜路1011号,,,,,,,,,,,,,,,,,,,
鸿艺豪苑,徐汇,18600,服务式公寓,2003/3/30 9:57,2003/3/30 0:00,交房,上海市徐汇区淮海中路1500号2号楼,,,,,,,,,,,,,,,,,,,
东方时空公寓,徐汇,18000,服务式公寓,2002/9/28 0:00,2003/9/1 0:00,交房,上海市徐汇区番禺路1099弄,,,,,,,,,,,,,,,,,,,
溧阳公馆（虹口世纪大酒店2号楼）,虹口,17044.66,酒店式公寓其他,2012/11/22 0:00,2013/6/1 0:00,交房,上海市虹口区溧阳路1155号,,,,,,,,,,,,,,,,,,,
新华嘉利公寓,长宁,17000,服务式公寓,2000/5/1 13:58,2000/6/3 13:58,交房,上海市长宁区新华路669号,,,,,,,,,,,,,,,,,,,
富_大厦,虹口,17000,服务式公寓,2005/2/3 0:00,2005/6/30 0:00,交房,上海市虹口区欧阳路57号,,,,,,,,,,,,,,,,,,,
河滨国际公寓,徐汇,16752,服务式公寓,2006/12/6 11:18,2007/6/30 0:00,交房,上海市徐汇区钦州路211号,,,,,,,,,,,,,,,,,,,
乐非天地,浦东,15628.8,酒店式公寓,2010/11/13 0:00,2011/10/31 0:00,结构封顶,上海市浦东新区杨高北路536号,,,,,,,,,,,,,,,,,,,
黄兴广场,杨浦,15570,服务式公寓,2003/11/30 0:00,2004/11/30 0:00,交房,上海市杨浦区黄兴路2005弄2号,,,,,,,,,,,,,,,,,,,
睿园,徐汇,15049,服务式公寓,2005/4/19 0:00,1997/11/30 10:58,交房,上海市徐汇区乌鲁木齐南路288弄建国西路近衡山,,,,,,,,,,,,,,,,,,,
虹桥路2388号产权国际公寓,长宁,15000,服务式公寓,2001/3/22 15:44,2002/6/30 15:44,交房,上海市长宁区虹桥路2388号,,,,,,,,,,,,,,,,,,,
爱都公寓,长宁,15000,酒店式公寓,2002/1/1 0:00,2002/1/1 15:21,交房,上海市长宁区虹桥路2222弄55号,,,,,,,,,,,,,,,,,,,
上海外高桥徐汇俱乐部有限公司公寓式办公用房及配套商业设施建设项目,徐汇,15000,酒店式公寓,2012/6/1 0:00,2012/11/24 0:00,正负00,上海市徐汇区衡山路85号,,,,,,,,,,,,,,,,,,,
天赐公寓,黄浦,14867,酒店式公寓,2004/11/13 0:00,2005/12/21 0:00,交房,上海市黄浦区广东路429号,,,,,,,,,,,,,,,,,,,
恒升半岛国际中心二期,虹口,14000,服务式公寓,2003/7/12 0:00,2004/2/1 0:00,交房,上海市虹口区吴淞路205号,,,,,,,,,,,,,,,,,,,
新凤城银座,杨浦,14000,服务式公寓,2004/7/28 0:00,2005/7/1 0:00,交房,上海市杨浦区控江路1500弄,,,,,,,,,,,,,,,,,,,
海珀府邸,徐汇,13526.94,酒店式公寓,2011/9/26 0:00,2012/12/30 0:00,主体结构,上海市徐汇区东安路800弄,,,,,,,,,,,,,,,,,,,
东方星座,杨浦,12771,服务式公寓,2003/9/18 0:00,2004/10/20 0:00,交房,上海市杨浦区江浦路1508号,,,,,,,,,,,,,,,,,,,
古北爵仕花园,长宁,12000,服务式公寓,2003/9/18 14:24,2003/9/18 14:24,交房,上海市长宁区宋园路58号(领尚国际酒店公寓),,,,,,,,,,,,,,,,,,,
顺泰天然居商务宾馆,徐汇,10000,服务式公寓,2004/5/18 12:11,2004/5/18 12:11,交房,上海市徐汇区百色路228号,,,,,,,,,,,,,,,,,,,
西郊珑廷,长宁,10000,酒店式公寓,2012/3/1 0:00,2012/6/1 0:00,内装修,上海市长宁区虹桥路2298号,,,,,,,,,,,,,,,,,,,
名仕公馆（银亿茗悦公寓）,徐汇,8295.68,酒店式公寓,2013/8/31 0:00,2014/12/31 0:00,内装修,上海市徐汇区斜土路1515号,,,,,,,,,,,,,,,,,,,
温莎公寓,长宁,8000,服务式公寓,2001/1/6 14:40,2001/1/6 14:40,交房,上海市长宁区虹桥路2290号,,,,,,,,,,,,,,,,,,,
碧云居家商务酒店,浦东,6000,服务式公寓,2005/12/10 0:00,2006/1/1 0:00,交房,上海市浦东新区居家桥路955弄1号,,,,,,,,,,,,,,,,,,,
新华阳光豪庭,长宁,5888,服务式公寓,2004/7/28 16:35,2004/7/28 13:13,交房,上海市长宁区凯旋路1188号,,,,,,,,,,,,,,,,,,,
由由酒店式公寓,浦东,5602,服务式公寓,2007/5/10 0:00,2007/5/1 0:00,交房,上海市浦东新区浦建路38号,,,,,,,,,,,,,,,,,,,
比利华高级公寓,长宁,5000,酒店式公寓,2003/3/4 0:00,2004/3/4 0:00,,上海市长宁区华山路1415号,,,,,,,,,,,,,,,,,,,
东方二_四六酒店公寓项目,徐汇,4876.48,酒店式公寓,2011/10/1 0:00,2012/2/1 0:00,内装修,上海市徐汇区武康路280弄17-25号,,,,,,,,,,,,,,,,,,,
证大家园酒店式公寓,浦东,2500,服务式公寓,2000/9/19 0:00,2001/9/19 0:00,交房,上海市浦东新区巨峰路667弄,,,,,,,,,,,,,,,,,,,
凤凰赢家,杨浦,2500,服务式公寓,2002/12/27 0:00,2003/1/1 0:00,交房,上海市杨浦区本溪路187号,,,,,,,,,,,,,,,,,,,
外滩辉盛坊国际公寓,黄浦,,服务式公寓,2009/10/31 0:00,2011/7/1 0:00,,上海市黄浦区中山南路460号,,,,,,,,,,,,,,,,,,,
三湘未来海岸广场,杨浦,,酒店式公寓,2011/11/5 0:00,2014/12/31 0:00,主体结构,上海市杨浦区新江湾城淞沪路、民府路口,,,,,,,,,,,,,,,,,,,
